"Method","Endpoint","OperationId","Tags","Summary","ResponseCodes","RequestSchema","CurrentStatus","FrontendUsage","DatabaseEntity","RequiredAction"
"GET","/api/v1/ml/experiments","findAll_1","ml-experiment-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/ml/experiments/algorithm/{algorithm}","findByAlgorithm","ml-experiment-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/recommendations/student/{studentId}","byStudent","recommendation-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/recommendations/students/{studentId}","generateForStudent","educational-recommendation-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/students","findAll","student-profile-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"POST","/api/v1/students","create","student-profile-controller",,"200","#/components/schemas/StudentProfileRequest","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/students/{id}","findById","student-profile-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"PUT","/api/v1/students/{id}","update","student-profile-controller",,"200","#/components/schemas/StudentProfileRequest","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/students/{studentId}/assessment-history","findStudentAssessmentHistory","assessment-history-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/students/{studentId}/assessment-history/{assessmentCode}","findStudentAssessmentHistoryByCode","assessment-history-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
"GET","/api/v1/students/{studentId}/timeline","findStudentTimeline","assessment-history-controller",,"200","","DOCUMENTED","TO_VERIFY","TO_IDENTIFY","TO_REVIEW"
